System,Area,Repo,Resource_URL,Locked_SHA,Head_Date,Lock_Checked_Date,Code_Status,Weights_Status,Dataset_Status
Muse: Towards Reproducible Long-Form Song Generation with Fine-Grained Style Control,Editing / control,yuhui1038/Muse,https://github.com/yuhui1038/Muse,dbc22f83eac3e3e3a6bd44eba2e1c774588c5ff1,2026-04-11T07:20:15Z,2026-09-17,OFFICIAL_CODE_LOCKED,Yes,Yes
YuE: Scaling Open Foundation Models for Long-Form Music Generation,Generation,multimodal-art-projection/YuE,https://github.com/multimodal-art-projection/YuE,bd90e4ccae671d869b3ecaca6d7e893927d29442,2026-09-17T01:49:59Z,2026-09-17,OFFICIAL_CODE_LOCKED,Yes,No / training corpus not fully open
DiffRhythm 2: Efficient And High Fidelity Song Generation Via Block Flow Matching,Generation,xiaomi-research/diffrhythm2,https://github.com/xiaomi-research/diffrhythm2,13a7b091f45124f611e36ee674973234f38d55b6,2025-11-06T02:00:39Z,2026-09-17,ECOSYSTEM_ONLY,Yes — official released weights,Not strict-training reproducible yet
AudioX: A Unified Framework for Anything-to-Audio Generation,Multimodal,ZeyueT/AudioX,https://github.com/ZeyueT/AudioX,3bdfb7081636b9e62224039e37dadaa264dc781f,2026-03-10T14:09:01Z,2026-09-17,OFFICIAL_CODE_LOCKED,"Yes — official HF checkpoints for AudioX, AudioX-MAF and AudioX-MAF-MMDiT",IF-caps release/access status remains incomplete relative to model checkpoints; do not mark strict data reproduction as complete
BeatEdit: Symbolic Music Generation as Explicit Editing,Editing / control,Haoyu-Gu/BeatEdit-code,https://github.com/Haoyu-Gu/BeatEdit-code,dc5e6a869bcf464f33270eac035feda9b6f782eb,2026-09-08T02:05:11Z,2026-09-17,OFFICIAL_CODE_LOCKED,Repo includes reproduction structure; checkpoint population depends on release state,Datasets downloadable/convertible
MusicMagus: Zero-Shot Text-to-Music Editing via Diffusion Models,Editing / control,ldzhangyx/MusicMagus,https://github.com/ldzhangyx/MusicMagus,ef69ef6955a963955015c05e3a021a6b31f80b16,2024-09-11T11:15:28Z,2026-09-17,OFFICIAL_CODE_LOCKED,Unknown / not yet verified,Unknown / not yet verified
CMI-Bench: A Comprehensive Benchmark for Evaluating Music Instruction Following,Music understanding / Music-LM,nicolaus625/CMI-bench,https://github.com/nicolaus625/CMI-bench,1623c2f7aee85c38cd3c7beff34f6aebdc02a291,2025-06-24T20:46:04Z,2026-09-17,OFFICIAL_CODE_LOCKED,Uses open-weight evaluated models,Yes for benchmark assembly; underlying source-dataset licenses differ
DeepResonance: Enhancing Multimodal Music Understanding via Music-centric Multi-way Instruction Tuning,Music understanding / Music-LM,sony/DeepResonance,https://github.com/sony/DeepResonance,6a4d2196562bd9e72a4a58635a6b496241f5410a,2025-12-26T11:54:28Z,2026-09-17,OFFICIAL_CODE_LOCKED,Unknown / not yet verified,Unknown / not yet verified
When Audio and Text Disagree: Revealing Text Bias in Large Audio-Language Models,Music understanding / Music-LM,WangCheng0116/MCR-BENCH,https://github.com/WangCheng0116/MCR-BENCH,448a3f26d2b282b0f6b2439274de46997ee2d21d,2025-09-11T16:15:32Z,2026-09-17,OFFICIAL_CODE_LOCKED,Unknown / not yet verified,Unknown / not yet verified
WildScore: Benchmarking MLLMs in-the-Wild Symbolic Music Reasoning,Music understanding / Music-LM,GaganVM/WildScore,https://github.com/GaganVM/WildScore,24025c4a5876faa1ccae0b706606462abb50b24a,2025-08-30T21:34:07Z,2026-09-17,OFFICIAL_CODE_LOCKED,,Dataset release status in paper
