Paper,Previous_status,Updated_status,Official_resource_URL,Resource_type,Weights_status,Data_access_status,Dataset_or_resource,Checked_revision,Checked_date,Note
"Arrange, Inpaint, and Refine: Steerable Long-Term Music Audio Generation and Editing",NOT_INDEXED,OFFICIAL_CODE_VERIFIED,https://github.com/Kikyo-16/airgen,GitHub,"Yes — drums, chord, and piano model weights are linked from the official repository.",Demo inputs are provided; full training-data release was not verified in this pass.,Demo MIDI/audio/control inputs; full training corpus not indexed.,4c5d1959ba2a2095be5258b9b2e998fb2ddd666f,2026-09-18,README identifies AIRGen as the official repository for the paper.
SteerMusic,NOT_INDEXED,OFFICIAL_CODE_VERIFIED,https://github.com/sony/steermusic,GitHub,Uses pretrained AudioLDM2; an example personalized DreamSound checkpoint is linked for SteerMusic+.,No dedicated SteerMusic training dataset release was verified in this pass.,AudioLDM2-based zero-shot editing; optional personalized DreamSound checkpoint.,9d2008b8515f9c8a83c956ddb23ab83b55e19709,2026-09-18,"Sony repository README links the paper, demo, editing commands, and evaluation code."
CoDiCodec: Unifying Continuous and Discrete Compressed Representations of Audio,NOT_INDEXED,OFFICIAL_CODE_VERIFIED,https://github.com/SonyCSLParis/codicodec,GitHub,Pretrained codec is exposed through the codicodec package; separate checkpoint packaging was not audited here.,Training-data release was not verified in this pass.,No training corpus indexed in this update.,1239148096a5b6725eeabb62eb950d064a951c64,2026-09-18,Sony CSL repository provides the package and continuous/discrete encoding API.
Scaling Self-Supervised Representation Learning for Symbolic Piano Performance,NOT_INDEXED,OFFICIAL_CODE_VERIFIED,https://github.com/EleutherAI/aria,GitHub,"Yes — base, generative, and embedding checkpoints are released on Hugging Face.",Yes — Aria-MIDI is released on Hugging Face.,Aria-MIDI; ~60k hours of MIDI transcriptions are described in the official repository.,c2f67bc90b49335543c0249fe00fb84a9337faf8,2026-09-18,"Repository explicitly states that it contains training, inference, and evaluation code for the ISMIR 2025 paper."
Towards Fine-grained Audio Captioning with Multimodal Contextual Fusion,NOT_INDEXED,OFFICIAL_CODE_VERIFIED,https://github.com/FreedomIntelligence/FusionAudio,GitHub,Yes — FusionAudio model release is linked on Hugging Face.,Yes — FusionAudio-1.2M is released on Hugging Face/ModelScope for research use.,FusionAudio-1.2M; 1.2M audio-text pairs.,69c6b6173d74b05fa18c29a9d50cd67ce2350a85,2026-09-18,The repository uses the title variant “Multimodal Contextual Cues”; the paper citation in the README uses “Multimodal Contextual Fusion”.
TMD-Bench: Multi-Level Evaluation for Music–Dance Co-Generation,NOT_INDEXED,OFFICIAL_CODE_VERIFIED,https://github.com/Collab-Gen/TMD-Bench,GitHub,Checkpoint layout for RhyJAM and related components is documented; public checkpoint links were not fully indexed in this pass.,The repository describes a 10k-scale rhythm-aligned music-dance dataset; release links were not fully indexed in this pass.,TMD-Bench / rhythm-aligned music-dance data / Music Captioner / RhyJAM.,43e3bd5c26af4efaf5444d03977839a552173784,2026-09-18,Collab-Gen and MM-Speech host matching repository histories; Collab-Gen is used as the primary link in this index.
TOMI: Transforming and Organizing Music Ideas for Multi-Track Compositions with Full-Song Structure,NOT_INDEXED,OFFICIAL_CODE_VERIFIED,https://github.com/heqi201255/TOMI,GitHub,No dedicated TOMI checkpoint is required by the documented LLM/retrieval/DAW workflow.,A local audio-sample database is part of the workflow; no standalone training-corpus release was verified.,Clip/section/track/transformation representation with REAPER and a sample database.,91c4afc8fe1cbc7025bef0fcae982c31ec0dd3d9,2026-09-18,Repository README cites the ISMIR 2025 TOMI paper and provides installation/integration instructions.
MIDI-VALLE: Improving Expressive Piano Performance Synthesis Through Neural Codec Language Modelling,NOT_INDEXED,OFFICIAL_CODE_VERIFIED,https://github.com/tangjjbetsy/MIDI-VALLE,GitHub,Yes — Piano-Encodec and MIDI-VALLE pretrained models are released on Zenodo.,ATEPP MIDI files are available; ATEPP audio is not redistributed because of copyright restrictions.,ATEPP MIDI/performance data; audio access is restricted.,27d698b52bea56e3dde0ff8ffd1e4a40320a9961,2026-09-18,README identifies the repository as the official implementation of the ISMIR 2025 paper.
PianoBind: A Multi-Modal Joint Embedding Model for Pop-Piano Music,NOT_INDEXED,OFFICIAL_CODE_VERIFIED,https://github.com/Hayeonbang/PianoBind,GitHub,Yes — pretrained PianoBind models are linked on Hugging Face.,Yes — the PIAST dataset is linked from the official project.,"PIAST; aligned audio, MIDI, and text for pop-piano representation learning.",23e13e5f616b7b10af5f3c054bd983e2299c56e4,2026-09-18,"Official project and author page link the code, models, dataset, and ISMIR 2025 paper."
VioPTT: Violin Technique-Aware Transcription from Synthetic Data Augmentation,NOT_INDEXED,OFFICIAL_CODE_VERIFIED,https://github.com/y10ab1/VioPTT,GitHub,Checkpoint paths are part of the released workflow; release completeness was not separately audited.,The official project page links the MOSA-VPT dataset.,MOSA-VPT and violin audio/MIDI/playing-technique annotations.,30e62fb18f5c8b6ddef30d8e68b13386f2333776,2026-09-18,GitHub repository and official project page match the ICASSP 2026 VioPTT paper.
GETMusic,NOT_INDEXED,OFFICIAL_CODE_VERIFIED,https://github.com/microsoft/muzic/tree/main/getmusic,GitHub,Inference expects a checkpoint path; a current official checkpoint download was not verified in this pass.,Example MIDI inputs are included; full training-data release was not re-audited in this pass.,GETMusic implementation under Microsoft Muzic; symbolic multi-track generation examples included.,2b8739671ba06f819f31f568b8a79da581aaf6f9,2026-09-18,The IJCAI 2025 paper corresponds to the earlier GETMusic implementation maintained under microsoft/muzic/getmusic.
