Paper,Venue,Year,Evidence_Domain,Persistent_ID,Exact_Paper_URL,Resource_URL,Code_Status,Weights,Dataset_public,Dataset,Source_Checked_Date,Source_Lock_Status
ACE-Step 1.5: Open Music Foundation Model Ecosystem Release,Open-source ecosystem / technical release,2026,Editing / control,GitHub:ACE-Step-1.5,https://github.com/ace-step/ACE-Step-1.5,https://github.com/ace-step/ACE-Step-1.5,ECOSYSTEM_ONLY,Yes — official model downloader/checkpoints,Not strict-training reproducible from current release alone,Training data not treated as fully reproducible in this database,2026-09-07,LOCKED
BeatEdit: Symbolic Music Generation as Explicit Editing,ACM MM,2026,Editing / control,DOI:10.1145/3767308.3835589; arXiv:2607.11124,https://arxiv.org/abs/2607.11124v2,https://github.com/Haoyu-Gu/BeatEdit-code,OFFICIAL_CODE_LOCKED,Repo includes reproduction structure; checkpoint population depends on release state,Datasets downloadable/convertible,MuseScore/Lakh-based preprocessing; exact splits in paper/repo,2026-09-07,LOCKED
MIDILM: A Dual-Path Model for Controllable Text-to-MIDI Generation,AAAI,2026,Editing / control,DOI:10.1609/aaai.v40i28.39483,https://ojs.aaai.org/index.php/AAAI/article/view/39483,https://github.com/Large-Multimodal-Model-Lab/MIDILM,OFFICIAL_CODE_LOCKED,Not yet verified,MidiCaps public; exact training data pipeline still being normalized,MidiCaps; SymphonyNet pseudo-text pretraining described in paper,2026-09-07,LOCKED
Muse: Towards Reproducible Long-Form Song Generation with Fine-Grained Style Control,Findings of ACL,2026,Editing / control,DOI:10.18653/v1/2026.findings-acl.1129,https://aclanthology.org/2026.findings-acl.1129/,https://github.com/yuhui1038/Muse,OFFICIAL_CODE_LOCKED,Yes,Yes,"116k fully licensed synthetic songs, 2–6 minutes, generated with SunoV5 and annotated with structured lyrics/style",2026-09-07,LOCKED
Polyphonia: Zero-Shot Timbre Transfer in Polyphonic Music with Acoustic-Informed Attention Calibration,ICML,2026,Editing / control,arXiv:2605.10203,https://arxiv.org/abs/2605.10203,https://github.com/Ltx-Leif/polyphonia,OFFICIAL_CODE_LOCKED,Uses pretrained AudioLDM2 rather than a new Polyphonia checkpoint.,Prompt files public; MUSDB18-HQ/MusicDelta audio must be prepared separately under their licenses.,"PolyEvalPrompts: 1,170 stem-specific timbre-transfer tasks on MUSDB18-HQ test and MusicDelta; audio obtained under source-dataset licenses.",2026-09-07,LOCKED
Efficient Fine-Grained Guidance for Diffusion Model Based Symbolic Music Generation,ICML,2025,Editing / control,PMLR:v267-zhu25m,https://proceedings.mlr.press/v267/zhu25m.html,https://github.com/huajianduzhuo-code/FGG-music-code,OFFICIAL_CODE_LOCKED,Checkpoint status to verify,Symbolic data status mixed,Symbolic datasets in paper; exact list pending,2026-09-07,LOCKED
MuseControlLite: Multifunctional Music Generation with Lightweight Conditioners,ICML,2025,Editing / control,PMLR:v267-tsai25a,https://proceedings.mlr.press/v267/tsai25a.html,https://MuseControlLite.github.io/web/,OFFICIAL_CODE_LOCKED,Yes,Public-data setup substantially reproducible,Uses Stable Audio Open training/evaluation resources plus task-specific conditions,2026-09-07,LOCKED
SyMuPe: Affective and Controllable Symbolic Music Performance,ACM MM,2025,Editing / control,DOI:10.1145/3746027.3755871; arXiv:2511.03425,https://doi.org/10.1145/3746027.3755871,https://github.com/ilya16/SyMuPe,OFFICIAL_CODE_LOCKED,Yes,Yes/linked with license terms,PERiScoPe / PianoCoRe-related symbolic piano resources,2026-09-07,LOCKED
XMusic: Towards a Generalized and Controllable Symbolic Music Generation Framework,IEEE Transactions on Multimedia,2025,Editing / control,DOI:10.1109/TMM.2025.3590912,https://doi.org/10.1109/TMM.2025.3590912,https://xmusic-project.github.io/,OFFICIAL_CODE_LOCKED,Weights/code status to verify,XMIDI availability to verify,"XMIDI: 108,023 MIDI files with emotion/genre labels",2026-09-07,LOCKED
High Fidelity Text-Guided Music Editing via Single-Stage Flow Matching (MelodyFlow),NeurIPS 2024 Workshop: Audio Imagination,2024,Editing / control,arXiv:2407.03648,https://arxiv.org/abs/2407.03648,https://melodyflow.github.io/,WORKSHOP_NOT_CCF_CORE,Yes,Training data not fully public,Large music training data; not fully public,2026-09-07,LOCKED
MusicMagus: Zero-Shot Text-to-Music Editing via Diffusion Models,IJCAI,2024,Editing / control,DOI:10.24963/ijcai.2024/864; arXiv:2402.06178,https://www.ijcai.org/proceedings/2024/864,https://github.com/ldzhangyx/MusicMagus,OFFICIAL_CODE_LOCKED,Unknown / not yet verified,Unknown / not yet verified,Not yet verified,2026-09-07,LOCKED
