Paper,Venue,Year,Evidence_Domain,Persistent_ID,Exact_Paper_URL,Resource_URL,Code_Status,Weights,Dataset_public,Dataset,Source_Checked_Date,Source_Lock_Status
A Fourier Explanation of AI-music Artifacts,ISMIR,2025,Evaluation / robustness,arXiv:2506.19108,https://arxiv.org/abs/2506.19108,https://github.com/deezer/ismir25-ai-music-detector,OFFICIAL_CODE_LOCKED,Research code/feature pipeline released; production detector is explicitly not released in full.,FMA/SONICS split references provided; commercial samples depend on benchmark availability.,FMA real music + open-source generated/reconstructed audio; SONICS/commercial-generator evaluation includes Suno/Udio variants.,2026-09-07,LOCKED
Aligning Text-to-Music Evaluation With Human Preferences,ISMIR,2025,Evaluation / robustness,arXiv:2503.16669,https://arxiv.org/abs/2503.16669,https://github.com/i-need-sleep/mad,OFFICIAL_CODE_LOCKED,"Uses public embedding backbone(s), MERT default",Yes — MusicPrefs on Hugging Face; MAD code and FMA-Pop reference workflow public.,"MusicPrefs open human-preference dataset: ~5.04k pairwise rows, 120 prompts, 7 TTM systems; meta-evaluations also use FMA-Pop reference subset and controlled references.",2026-09-07,LOCKED
Instruct-MusicGen: Unlocking Text-to-Music Editing for Music Language Models via Instruction Tuning,ISMIR,2025,Evaluation / robustness,arXiv:2405.18386,https://arxiv.org/abs/2405.18386,https://github.com/ldzhangyx/instruct-MusicGen,OFFICIAL_CODE_LOCKED,Community/retrained checkpoint public; note repo says it is not Sony official,Slakh public,Slakh-based ~145 h training setup reported,2026-09-07,LOCKED
Universal Music Representations? Evaluating Foundation Models on World Music Corpora,ISMIR,2025,Evaluation / robustness,arXiv:2506.17055,https://arxiv.org/abs/2506.17055,https://github.com/pxaris/FM-music-tagging,OFFICIAL_CODE_LOCKED,Backbone weights public for evaluated open models,Several corpora public/research-access,"Six corpora covering Western, Greek, Turkish, Indian and other music traditions",2026-09-07,LOCKED
Automatic Song Aesthetics Evaluation Challenge,ICASSP,2026,Evaluation / robustness,ICASSP2026:ASAE-Challenge,https://aslp-lab.github.io/Automatic-Song-Aesthetics-Evaluation-Challenge/,https://aslp-lab.github.io/Automatic-Song-Aesthetics-Evaluation-Challenge/,OFFICIAL_CODE_LOCKED,Baseline model available through challenge ecosystem; exact checkpoint card pending,Yes — official challenge describes SongEval as open-source,"SongEval: 2,399 full-length songs, approx. 140.3 h; English/Mandarin; multiple genres; test songs span 10+ open/commercial generators",2026-09-07,LOCKED
Beethoven Symphony Excerpt Dataset (BSED): An Evaluation Dataset for Orchestral Music Transcription,TISMIR,2026,Evaluation / robustness,Zenodo:20344500,https://zenodo.org/records/20344500,https://www.audiolabs-erlangen.de/resources/MIR/2026-BSED-BSD,OFFICIAL_CODE_LOCKED,,Yes — Zenodo,"BSED: 20 Beethoven symphony score excerpts, each with five synchronized audio versions (4 real concert recordings + 1 synthetic); BSD is larger accompanying training set.",2026-09-07,LOCKED
CMI-RewardBench: Evaluating Music Reward Models with Compositional Multimodal Instruction,ICML,2026,Evaluation / robustness,arXiv:2603.00610,https://arxiv.org/abs/2603.00610v3,https://github.com/Haiwen-Xia/CMI-RewardBench,OFFICIAL_CODE_LOCKED,Yes,Yes,"110k pseudo-preference pairs; 797 h generated audio; 4,027 human preference labels; outputs from 23 generation models",2026-09-07,LOCKED
Fine-Tuning BigVGAN-V2 for Robust Musical Tuning Preservation,ICASSP,2026,Evaluation / robustness,DOI:10.1109/ICASSP55912.2026.11460697,https://doi.org/10.1109/ICASSP55912.2026.11460697,https://www.audiolabs-erlangen.de/resources/MIR/2026-ICASSP-VocoderFineTuning,OFFICIAL_CODE_LOCKED,Base BigVGAN-V2 public; fine-tuned checkpoint state not yet verified,Mixed / pending exact normalization,Natural tuning variation and pitch-shift augmented training data; exact dataset composition remains to be normalized from full paper.,2026-09-07,LOCKED
MusicDET: Zero-Shot AI-Generated Music Detection,ICML,2026,Evaluation / robustness,arXiv:2605.18072,https://arxiv.org/abs/2605.18072,https://github.com/Chaolei98/MusicDET,OFFICIAL_CODE_LOCKED,Backbones public (e.g. MERT / wav2vec variants); no complete official MusicDET detector checkpoint was found in checked repo.,Evaluation uses public/generated-music benchmark sources; some training CSV/resources are separately linked.,Real-music training + unseen-generator tests; exact corpus pending,2026-09-07,LOCKED
Summary of The Inaugural Music Source Restoration Challenge,ICASSP,2026,Evaluation / robustness,DOI:10.1109/ICASSP55912.2026.11462762; arXiv:2601.04343,https://doi.org/10.1109/ICASSP55912.2026.11462762,https://msrchallenge.com/,OFFICIAL_CHALLENGE_RESOURCE_LOCKED,Several baseline/community checkpoints available,RawStems release status documented; exact license/access normalization pending,RawStems + challenge evaluation sets; top systems also use MoisesDB and other data per system reports,2026-09-07,LOCKED
TMD-Bench: Multi-Level Evaluation for Music–Dance Co-Generation,ICML,2026,Evaluation / robustness,arXiv:2605.01809,https://arxiv.org/abs/2605.01809,https://github.com/Collab-Gen/TMD-Bench,OFFICIAL_CODE_VERIFIED_2026-09-18,RhyJAM/component checkpoint layout documented; public links not fully indexed,10k-scale rhythm-aligned dataset described; release links not fully indexed,"TMD-Bench, rhythm-aligned music-dance data, Music Captioner and RhyJAM",2026-09-18,LOCKED
TTA-Bench,AAAI,2026,Evaluation / robustness,DOI:10.1609/aaai.v40i39.40639,https://ojs.aaai.org/index.php/AAAI/article/view/40639,https://github.com/NKU-HLT/TTA-Bench-tools,OFFICIAL_CODE_LOCKED,Uses public model weights where available,Benchmark data public/available,"2,999 prompts; 118,314 human annotations",2026-09-07,LOCKED
