Paper,Venue,Year,Evidence_Domain,Persistent_ID,Exact_Paper_URL,Resource_URL,Code_Status,Weights,Dataset_public,Dataset,Source_Checked_Date,Source_Lock_Status
DiffRhythm 2: Efficient And High Fidelity Song Generation Via Block Flow Matching,Open-source preprint / ecosystem,2025,Generation,GitHub:xiaomi-research/diffrhythm2,https://github.com/xiaomi-research/diffrhythm2,https://github.com/xiaomi-research/diffrhythm2,ECOSYSTEM_ONLY,Yes — official released weights,Not strict-training reproducible yet,Training data/reproducibility not fully normalized,2026-09-07,LOCKED
IMPACT: Iterative Mask-based Parallel Decoding for Text-to-Audio Generation with Diffusion Modeling,ICML,2025,Generation,PMLR:v267-huang25ap; arXiv:2506.00736,https://proceedings.mlr.press/v267/huang25ap.html,https://audio-impact.github.io/,OFFICIAL_CODE_LOCKED,Weights status to verify,Benchmarks public,Standard TTA benchmarks; exact data pending,2026-09-07,LOCKED
LeVo: High-Quality Song Generation with Multi-Preference Alignment,NeurIPS,2025,Generation,DOI:10.52202/085713-3427; arXiv:2506.07520,https://proceedings.neurips.cc/paper_files/paper/2025/hash/944f0b5d4f224f8d2a30e65082b51b76-Abstract-Conference.html,https://github.com/tencent-ailab/songgeneration,OFFICIAL_CODE_LOCKED,Yes,No,~110k hours / ~2M songs reported; training data not public,2026-09-07,LOCKED
Live Music Models,NeurIPS,2025,Generation,arXiv:2508.04651,https://proceedings.neurips.cc/paper_files/paper/2025/hash/6a2b9382fa7c131ed57aa7e6b2587e5e-Abstract-Creative_AI_Track.html,https://github.com/magenta/magenta-realtime,OFFICIAL_CODE_LOCKED,Yes,Training data not fully public,Large-scale music training data; exact public status mixed,2026-09-07,LOCKED
QA-MDT: Quality-aware Masked Diffusion Transformer for Enhanced Music Generation,IJCAI,2025,Generation,DOI:10.24963/ijcai.2025/1126,https://www.ijcai.org/proceedings/2025/1126,https://github.com/ivcylc/OpenMusic,OFFICIAL_CODE_LOCKED,Unknown / not yet verified,Unknown / not yet verified,Not yet verified,2026-09-07,LOCKED
SongBloom: Coherent Song Generation via Interleaved Autoregressive Sketching and Diffusion Refinement,NeurIPS,2025,Generation,DOI:10.52202/085713-1150; arXiv:2506.07634,https://proceedings.nips.cc/paper_files/paper/2025/hash/3107ddd4209e5f93c0371425763041a3-Abstract-Conference.html,https://github.com/tencent-ailab/SongBloom,OFFICIAL_CODE_LOCKED,"Yes — 2B 150s, 150s-DPO and 240s variants",Training data status unclear/nonpublic,Large music corpus; exact public status pending,2026-09-07,LOCKED
PADS-TAL: Padding-Annealed Diffusion Sampling in Text-Aware Latent Space for Robust and Diverse Text-to-Music Generation,ICML,2026,Generation,OpenReview:c0iisI5tJj,https://openreview.net/forum?id=c0iisI5tJj,https://github.com/PADS-TAL/PADS-TAL,OFFICIAL_CODE_LOCKED,No directly linked official downloadable checkpoint found in the checked repository; inference expects --ckpt-path.,Evaluation datasets available,Benchmarks and training data in paper; exact extraction pending,2026-09-07,LOCKED
Towards Fine-grained Audio Captioning with Multimodal Contextual Fusion,ACL,2026,Generation,arXiv:2506.01111,https://arxiv.org/abs/2506.01111,https://github.com/FreedomIntelligence/FusionAudio,OFFICIAL_CODE_VERIFIED_2026-09-18,Yes — FusionAudio model on Hugging Face,Yes — FusionAudio-1.2M on Hugging Face/ModelScope,FusionAudio-1.2M; 1.2M audio-text pairs,2026-09-18,LOCKED
Towards Streaming Synchronized Spatial Audio Generation via Autoregressive Diffusion Transformer,ICML,2026,Generation,arXiv:2605.30940,https://arxiv.org/abs/2605.30940,https://github.com/MM-Speech/SwanSphere,OFFICIAL_CODE_VERIFIED_2026-09-18,Not released at check; repository TODO lists model checkpoints.,Training/evaluation datasets not released at check; repository TODO lists them.,Spatial audio generation from panoramic video and text; dataset release pending.,2026-09-18,LOCKED
YuE: Scaling Open Foundation Models for Long-Form Music Generation,ICLR,2026,Generation,arXiv:2503.08638,https://proceedings.iclr.cc/paper_files/paper/2026/hash/a6a21421022d1da16eadbba533980530-Abstract-Conference.html,https://github.com/multimodal-art-projection/YuE,OFFICIAL_CODE_LOCKED,Yes,No / training corpus not fully open,Large-scale internal/curated music data; not fully public,2026-09-07,LOCKED
