Paper,Year,Venue,Area,CCF_AB_core,Task,Input,Output,Model_architecture,Parameter_count,Dataset,Benchmark_registry,Official_code_or_project_URL,Release_status,Weights_status,Data_access_status,Checked_revision,Revision_status
Affective and Controllable Symbolic Music Performance,2025,ACM MM,Editing / control,NO_TIER_C,Expressive symbolic performance / inpainting,Symbolic score + affect/control,Expressive performance,Not yet verified,Not yet verified,Not yet verified,,,not indexed,Unknown / not yet verified,Unknown / not yet verified,,
Efficient Fine-Grained Guidance for Diffusion Model Based Symbolic Music Generation,2025,ICML,Editing / control,YES,Symbolic music generation / precise control,Symbolic conditions/chords,Generated symbolic music,Diffusion generation with fine-grained/hard guidance at sampling,Not yet extracted,Symbolic datasets in paper; exact list pending,,https://github.com/huajianduzhuo-code/FGG-music-code,official code checked,Checkpoint status to verify,Symbolic data status mixed,b983576ef29708dd63f0c010c81562a9003e0679,LOCKED
LiLAC: A Lightweight Latent ControlNet for Musical Audio Generation,2025,ISMIR,Editing / control,NO_TIER_C,Controllable audio music generation,Music conditions,Controlled music audio,Not yet verified,Not yet verified,Not yet verified,,,not indexed,Unknown / not yet verified,Unknown / not yet verified,,
MuseControlLite: Multifunctional Music Generation with Lightweight Conditioners,2025,ICML,Editing / control,YES,Controllable text-to-music / inpainting / outpainting,Text + time-varying conditions/reference audio,Controlled music audio,Decoupled cross-attention conditioner with rotary positional embedding,85M trainable; ~1.4B total reported,Uses Stable Audio Open training/evaluation resources plus task-specific conditions,YES,https://MuseControlLite.github.io/web/,official code checked,Yes,Public-data setup substantially reproducible,,
SongEditor: Adapting Zero-Shot Song Generation Language Model as a Multi-Task Editor,2025,AAAI,Editing / control,YES,Full-song editing / segment-wise and track-wise editing,Song + edit condition,Edited song,Music tokenizer + autoregressive language model + diffusion generator for segment/lyrics/vocal/accompaniment edits.,Not yet verified,Not yet verified,,NO_OFFICIAL_CODE_LOCATED_AFTER_TARGETED_SEARCH_2026-09-07,no official code located in targeted search,Unknown / not yet verified,Unknown / not yet verified,,
SyMuPe: Affective and Controllable Symbolic Music Performance,2025,ACM MM,Editing / control,YES,Symbolic expressive performance / affect control / inpainting,Score/MIDI + control/mask,Expressive performance MIDI,PianoFlow conditional flow-matching family with multi-mask performance inpainting/control.,Released base model 25.1M in one HF model card.,PERiScoPe / PianoCoRe-related symbolic piano resources,,https://github.com/ilya16/SyMuPe,official code checked,Yes,Yes/linked with license terms,13cc57d483d300923cffd70f053581cb0397843c,LOCKED
Temporal-Conditioned Symbolic Alignment for Controllable Text-to-Music Generation,2025,ACM MM,Editing / control,NO_TIER_C,Text-to-music / temporal control,Text + temporal condition,Music,Not yet verified,Not yet verified,Not yet verified,,,not indexed,Unknown / not yet verified,Unknown / not yet verified,,
XMusic: Towards a Generalized and Controllable Symbolic Music Generation Framework,2025,IEEE Transactions on Multimedia,Editing / control,YES,Multimodal-to-symbolic music generation,Image/video/text/tags/humming,Symbolic music,XProjector multimodal projection + XComposer generator/selector,Not yet extracted,"XMIDI: 108,023 MIDI files with emotion/genre labels",,https://xmusic-project.github.io/,official code checked,Weights/code status to verify,XMIDI availability to verify,,
A Fourier Explanation of AI-music Artifacts,2025,ISMIR,Evaluation / robustness,YES,Generative artifact analysis,Generated/real music,Artifact analysis,Mechanistic/theoretical artifact analysis: deconvolution/transposed-convolution modules create predictable periodic spectral peaks; simple spectral-fingerprint logistic detector.,Detector is simple/interpretable; generator-dependent,FMA real music + open-source generated/reconstructed audio; SONICS/commercial-generator evaluation includes Suno/Udio variants.,,https://github.com/deezer/ismir25-ai-music-detector,official code checked,Research code/feature pipeline released; production detector is explicitly not released in full.,FMA/SONICS split references provided; commercial samples depend on benchmark availability.,dc8713a24bc3a593ac44fef96897cdde67e93d26,LOCKED
AI-Generated Music Detection Challenges and Solutions,2025,ICASSP,Evaluation / robustness,NO_TIER_C,AI-music detection,Music audio,Real/fake score,Not yet verified,Not yet verified,Not yet verified,,,not indexed,Unknown / not yet verified,Unknown / not yet verified,,
