Paper,Venue,Year,Evidence_Domain,Peer_Reviewed_CCF_Core,Persistent_ID,Exact_Paper_URL,Official_Code_URL,Code_Status,Source_Checked_Date
CMI-RewardBench: Evaluating Music Reward Models with Compositional Multimodal Instruction,ICML,2026,Evaluation / robustness,YES,arXiv:2603.00610,https://arxiv.org/abs/2603.00610v3,https://github.com/Haiwen-Xia/CMI-RewardBench,OFFICIAL_CODE_LOCKED,2026-09-07
SonicMaster: Towards Controllable All-in-One Music Restoration and Mastering,ICML,2026,Separation / restoration / production,YES,arXiv:2508.03448,https://arxiv.org/abs/2508.03448v4,https://github.com/AMAAI-Lab/SonicMaster,OFFICIAL_CODE_LOCKED,2026-09-07
PHALAR: Phasors for Learned Musical Audio Representations,ICML,2026,Representation / codec,YES,arXiv:2605.03929,https://arxiv.org/abs/2605.03929v4,https://github.com/gladia-research-group/phalar,OFFICIAL_CODE_LOCKED,2026-09-07
Muse: Towards Reproducible Long-Form Song Generation with Fine-Grained Style Control,Findings of ACL,2026,Editing / control,YES,DOI:10.18653/v1/2026.findings-acl.1129,https://aclanthology.org/2026.findings-acl.1129/,https://github.com/yuhui1038/Muse,OFFICIAL_CODE_LOCKED,2026-09-07
BeatEdit: Symbolic Music Generation as Explicit Editing,ACM MM,2026,Editing / control,YES,DOI:10.1145/3767308.3835589; arXiv:2607.11124,https://arxiv.org/abs/2607.11124v2,https://github.com/Haoyu-Gu/BeatEdit-code,OFFICIAL_CODE_LOCKED,2026-09-07
BEAT: Tokenizing and Generating Symbolic Music by Uniform Temporal Steps,ICML,2026,Representation / codec,YES,arXiv:2604.19532,https://arxiv.org/abs/2604.19532,https://github.com/Lekai-Qian/BEAT-code,OFFICIAL_CODE_LOCKED,2026-09-07
PADS-TAL: Padding-Annealed Diffusion Sampling in Text-Aware Latent Space for Robust and Diverse Text-to-Music Generation,ICML,2026,Generation,YES,OpenReview:c0iisI5tJj,https://openreview.net/forum?id=c0iisI5tJj,https://github.com/PADS-TAL/PADS-TAL,OFFICIAL_CODE_LOCKED,2026-09-07
MusicDET: Zero-Shot AI-Generated Music Detection,ICML,2026,Evaluation / robustness,YES,arXiv:2605.18072,https://arxiv.org/abs/2605.18072,https://github.com/Chaolei98/MusicDET,OFFICIAL_CODE_LOCKED,2026-09-07
STAR-VAE: Structured Topology-Aware Regularization for Audio Reconstruction and Generation,ICML,2026,Representation / codec,YES,arXiv:2606.23064,https://arxiv.org/abs/2606.23064,NO_OFFICIAL_CODE_LOCATED_AFTER_TARGETED_SEARCH_2026-09-07,NO_OFFICIAL_CODE_LOCATED_AFTER_TARGETED_SEARCH_2026-09-07,2026-09-07
YuE: Scaling Open Foundation Models for Long-Form Music Generation,ICLR,2026,Generation,YES,arXiv:2503.08638,https://proceedings.iclr.cc/paper_files/paper/2026/hash/a6a21421022d1da16eadbba533980530-Abstract-Conference.html,https://github.com/multimodal-art-projection/YuE,OFFICIAL_CODE_LOCKED,2026-09-07
