Paper,Previous_status,Updated_status,Official_resource_URL,Resource_type,Checked_revision,Checked_date,Note
AI-Generated Music Detection Challenges and Solutions,NOT_INDEXED,OFFICIAL_CODE_VERIFIED_2026-09-18,https://github.com/deezer/deepfake-detector,GitHub,edc94ad04b721e4ba59ccfb25e14606ddaa4a78a,2026-09-18,Canonical paper title is 'AI-Generated Music Detection and its Challenges' (ICASSP 2025).
Unsupervised Domain Adaptation for Music Transcription via Cross-Version Consistency,NOT_INDEXED,OFFICIAL_CODE_VERIFIED_2026-09-18,https://github.com/cheriell/Cross-Version-MPE,GitHub,ca6caa6e522994946ccfbce70be748f7f983ea91,2026-09-18,README explicitly lists the ICASSP 2025 paper and experiment pipeline.
SPEAR: A Unified SSL Framework for Learning Speech and Audio Representations,NOT_INDEXED,OFFICIAL_MODEL_RELEASE_VERIFIED_2026-09-18,https://huggingface.co/marcoyang/spear-xlarge-speech-audio,model release,,2026-09-18,Hugging Face model pages cite the SPEAR paper and provide inference code through Transformers.
CSSinger,NOT_INDEXED,PROJECT_PAGE_VERIFIED_NO_OFFICIAL_CODE_LINK_2026-09-18,https://sounddemos.github.io/cssinger/,project/demo page,,2026-09-18,Official demo page verified; no code link found on paper/demo/targeted GitHub search.
S²Voice,NOT_INDEXED,PROJECT_PAGE_VERIFIED_NO_OFFICIAL_CODE_LINK_2026-09-18,https://honee-w.github.io/SVC-Challenge-Demo/,project/demo page,,2026-09-18,Author/lab publication page links the demo but not code.
Towards Blind Data Cleaning: A Case Study in Music Source Separation,NOT_INDEXED,OFFICIAL_EMPTY_REPOSITORY_VERIFIED_2026-09-18,https://github.com/SonyResearch/DataCleaning4MSS,GitHub,,2026-09-18,SonyResearch repository exists but had size 0 and no README/commit content at check.
Music Source Separation with Band-Split RoPE Transformer,NOT_INDEXED,NO_OFFICIAL_CODE_LOCATED_AFTER_TARGETED_SEARCH_2026-09-18,,none located,,2026-09-18,"Targeted author/title GitHub search found third-party implementations, but no original-author/organization code release."
Context-aware Image-to-Music Generation,NOT_INDEXED,NO_OFFICIAL_CODE_LOCATED_AFTER_TARGETED_SEARCH_2026-09-18,,none located,,2026-09-18,Checked ACM/DBLP and Hokkaido University publication pages plus targeted GitHub search; no official code/project release verified.
JEN-1 Composer,NOT_INDEXED,NO_OFFICIAL_CODE_LOCATED_AFTER_TARGETED_SEARCH_2026-09-18,,none located,,2026-09-18,"AAAI paper verified; GitHub results found an explicitly unofficial implementation, not an author release."
Temporal-Conditioned Symbolic Alignment for Controllable Text-to-Music Generation,NOT_INDEXED,NO_OFFICIAL_CODE_LOCATED_AFTER_TARGETED_SEARCH_2026-09-18,,none located,,2026-09-18,"Checked ACM MM record, author publication page and targeted GitHub search; no official code/project release verified."
Noise-to-Notes: Diffusion-Based Generation and Refinement for Automatic Drum Transcription,NOT_INDEXED,NO_OFFICIAL_CODE_LOCATED_AFTER_TARGETED_SEARCH_2026-09-18,,none located,,2026-09-18,"Checked Sony ICASSP 2026 conference page, paper record and targeted GitHub search; no official code/project release verified."
Of All StrIPEs: Investigating Structure-Informed Positional Encoding for Efficient Music Generation,NOT_INDEXED,NO_OFFICIAL_CODE_LOCATED_AFTER_TARGETED_SEARCH_2026-09-18,,none located,,2026-09-18,Checked author/publication pages and targeted GitHub search; no official code release verified.
Scaling Transformers for End-to-End Discrete Audio Tokenization,NOT_INDEXED,NO_OFFICIAL_CODE_LOCATED_AFTER_TARGETED_SEARCH_2026-09-18,,none located,,2026-09-18,"Checked title/author searches and GitHub; no official code, model-weight, or training-data release verified by the check date."
Affective and Controllable Symbolic Music Performance,NOT_INDEXED,DUPLICATE_CANDIDATE_SEE_SYMUPE,,duplicate candidate,,2026-09-18,"Likely duplicate of 'SyMuPe: Affective and Controllable Symbolic Music Performance' (ACM MM 2025, DOI 10.1145/3746027.3755871). Kept as a separate corpus row pending manual corpus correction."
