Paper,Venue,Year,Evidence_Domain,Repo,Resource_URL,Code_Status,Weights,Dataset_public,Source_Checked_Date
MusicMagus: Zero-Shot Text-to-Music Editing via Diffusion Models,IJCAI,2024,Editing / control,ldzhangyx/MusicMagus,https://github.com/ldzhangyx/MusicMagus,OFFICIAL_CODE_LOCKED,Unknown / not yet verified,Unknown / not yet verified,2026-09-07
Efficient Fine-Grained Guidance for Diffusion Model Based Symbolic Music Generation,ICML,2025,Editing / control,huajianduzhuo-code/FGG-music-code,https://github.com/huajianduzhuo-code/FGG-music-code,OFFICIAL_CODE_LOCKED,Checkpoint status to verify,Symbolic data status mixed,2026-09-07
SyMuPe: Affective and Controllable Symbolic Music Performance,ACM MM,2025,Editing / control,ilya16/SyMuPe,https://github.com/ilya16/SyMuPe,OFFICIAL_CODE_LOCKED,Yes,Yes/linked with license terms,2026-09-07
ACE-Step 1.5: Open Music Foundation Model Ecosystem Release,Open-source ecosystem / technical release,2026,Editing / control,ace-step/ACE-Step-1.5,https://github.com/ace-step/ACE-Step-1.5,ECOSYSTEM_ONLY,Yes — official model downloader/checkpoints,Not strict-training reproducible from current release alone,2026-09-07
BeatEdit: Symbolic Music Generation as Explicit Editing,ACM MM,2026,Editing / control,Haoyu-Gu/BeatEdit-code,https://github.com/Haoyu-Gu/BeatEdit-code,OFFICIAL_CODE_LOCKED,Repo includes reproduction structure; checkpoint population depends on release state,Datasets downloadable/convertible,2026-09-07
MIDILM: A Dual-Path Model for Controllable Text-to-MIDI Generation,AAAI,2026,Editing / control,Large-Multimodal-Model-Lab/MIDILM,https://github.com/Large-Multimodal-Model-Lab/MIDILM,OFFICIAL_CODE_LOCKED,Not yet verified,MidiCaps public; exact training data pipeline still being normalized,2026-09-07
Muse: Towards Reproducible Long-Form Song Generation with Fine-Grained Style Control,Findings of ACL,2026,Editing / control,yuhui1038/Muse,https://github.com/yuhui1038/Muse,OFFICIAL_CODE_LOCKED,Yes,Yes,2026-09-07
Polyphonia: Zero-Shot Timbre Transfer in Polyphonic Music with Acoustic-Informed Attention Calibration,ICML,2026,Editing / control,Ltx-Leif/polyphonia,https://github.com/Ltx-Leif/polyphonia,OFFICIAL_CODE_LOCKED,Uses pretrained AudioLDM2 rather than a new Polyphonia checkpoint.,Prompt files public; MUSDB18-HQ/MusicDelta audio must be prepared separately under their licenses.,2026-09-07
A Fourier Explanation of AI-music Artifacts,ISMIR,2025,Evaluation / robustness,deezer/ismir25-ai-music-detector,https://github.com/deezer/ismir25-ai-music-detector,OFFICIAL_CODE_LOCKED,Research code/feature pipeline released; production detector is explicitly not released in full.,FMA/SONICS split references provided; commercial samples depend on benchmark availability.,2026-09-07
Aligning Text-to-Music Evaluation With Human Preferences,ISMIR,2025,Evaluation / robustness,i-need-sleep/mad,https://github.com/i-need-sleep/mad,OFFICIAL_CODE_LOCKED,"Uses public embedding backbone(s), MERT default",Yes — MusicPrefs on Hugging Face; MAD code and FMA-Pop reference workflow public.,2026-09-07
Instruct-MusicGen: Unlocking Text-to-Music Editing for Music Language Models via Instruction Tuning,ISMIR,2025,Evaluation / robustness,ldzhangyx/instruct-MusicGen,https://github.com/ldzhangyx/instruct-MusicGen,OFFICIAL_CODE_LOCKED,Community/retrained checkpoint public; note repo says it is not Sony official,Slakh public,2026-09-07
Universal Music Representations? Evaluating Foundation Models on World Music Corpora,ISMIR,2025,Evaluation / robustness,pxaris/FM-music-tagging,https://github.com/pxaris/FM-music-tagging,OFFICIAL_CODE_LOCKED,Backbone weights public for evaluated open models,Several corpora public/research-access,2026-09-07
CMI-RewardBench: Evaluating Music Reward Models with Compositional Multimodal Instruction,ICML,2026,Evaluation / robustness,Haiwen-Xia/CMI-RewardBench,https://github.com/Haiwen-Xia/CMI-RewardBench,OFFICIAL_CODE_LOCKED,Yes,Yes,2026-09-07
