System,Area,Repo,Locked_SHA,Repository_Reachable,Code_Clone,Environment_Setup,Checkpoint_Access,Minimal_Inference,Evaluation_Entry_Point,Dataset_Access,Paper_Metric_Reproduction,Last_Checked,Notes
Muse: Towards Reproducible Long-Form Song Generation with Fine-Grained Style Control,Editing / control,yuhui1038/Muse,dbc22f83eac3e3e3a6bd44eba2e1c774588c5ff1,YES,NOT_TESTED,NOT_TESTED,NOT_TESTED,NOT_TESTED,NOT_TESTED,NOT_TESTED,NOT_TESTED,2026-09-17,Release metadata is tracked separately; NOT_TESTED is not a failure.
YuE: Scaling Open Foundation Models for Long-Form Music Generation,Generation,multimodal-art-projection/YuE,bd90e4ccae671d869b3ecaca6d7e893927d29442,YES,NOT_TESTED,NOT_TESTED,NOT_TESTED,NOT_TESTED,NOT_TESTED,NOT_TESTED,NOT_TESTED,2026-09-17,Release metadata is tracked separately; NOT_TESTED is not a failure.
DiffRhythm 2: Efficient And High Fidelity Song Generation Via Block Flow Matching,Generation,xiaomi-research/diffrhythm2,13a7b091f45124f611e36ee674973234f38d55b6,YES,NOT_TESTED,NOT_TESTED,NOT_TESTED,NOT_TESTED,NOT_TESTED,NOT_TESTED,NOT_TESTED,2026-09-17,Release metadata is tracked separately; NOT_TESTED is not a failure.
AudioX: A Unified Framework for Anything-to-Audio Generation,Multimodal,ZeyueT/AudioX,3bdfb7081636b9e62224039e37dadaa264dc781f,YES,NOT_TESTED,NOT_TESTED,NOT_TESTED,NOT_TESTED,NOT_TESTED,NOT_TESTED,NOT_TESTED,2026-09-17,Release metadata is tracked separately; NOT_TESTED is not a failure.
BeatEdit: Symbolic Music Generation as Explicit Editing,Editing / control,Haoyu-Gu/BeatEdit-code,dc5e6a869bcf464f33270eac035feda9b6f782eb,YES,NOT_TESTED,NOT_TESTED,NOT_TESTED,NOT_TESTED,NOT_TESTED,NOT_TESTED,NOT_TESTED,2026-09-17,Release metadata is tracked separately; NOT_TESTED is not a failure.
MusicMagus: Zero-Shot Text-to-Music Editing via Diffusion Models,Editing / control,ldzhangyx/MusicMagus,ef69ef6955a963955015c05e3a021a6b31f80b16,YES,NOT_TESTED,NOT_TESTED,NOT_TESTED,NOT_TESTED,NOT_TESTED,NOT_TESTED,NOT_TESTED,2026-09-17,Release metadata is tracked separately; NOT_TESTED is not a failure.
CMI-Bench: A Comprehensive Benchmark for Evaluating Music Instruction Following,Music understanding / Music-LM,nicolaus625/CMI-bench,1623c2f7aee85c38cd3c7beff34f6aebdc02a291,YES,NOT_TESTED,NOT_TESTED,NOT_TESTED,NOT_TESTED,NOT_TESTED,NOT_TESTED,NOT_TESTED,2026-09-17,Release metadata is tracked separately; NOT_TESTED is not a failure.
DeepResonance: Enhancing Multimodal Music Understanding via Music-centric Multi-way Instruction Tuning,Music understanding / Music-LM,sony/DeepResonance,6a4d2196562bd9e72a4a58635a6b496241f5410a,YES,NOT_TESTED,NOT_TESTED,NOT_TESTED,NOT_TESTED,NOT_TESTED,NOT_TESTED,NOT_TESTED,2026-09-17,Release metadata is tracked separately; NOT_TESTED is not a failure.
When Audio and Text Disagree: Revealing Text Bias in Large Audio-Language Models,Music understanding / Music-LM,WangCheng0116/MCR-BENCH,448a3f26d2b282b0f6b2439274de46997ee2d21d,YES,NOT_TESTED,NOT_TESTED,NOT_TESTED,NOT_TESTED,NOT_TESTED,NOT_TESTED,NOT_TESTED,2026-09-17,Release metadata is tracked separately; NOT_TESTED is not a failure.
WildScore: Benchmarking MLLMs in-the-Wild Symbolic Music Reasoning,Music understanding / Music-LM,GaganVM/WildScore,24025c4a5876faa1ccae0b706606462abb50b24a,YES,NOT_TESTED,NOT_TESTED,NOT_TESTED,NOT_TESTED,NOT_TESTED,NOT_TESTED,NOT_TESTED,2026-09-17,Release metadata is tracked separately; NOT_TESTED is not a failure.
Jamendo-MT-QA: A Benchmark for Multi-Track Comparative Music Question Answering,Music understanding / Music-LM,MAAP-LAB/Jamendo-MT-QA,49735add63136ddd997ee53ed9c0404e60ece42b,YES,NOT_TESTED,NOT_TESTED,NOT_TESTED,NOT_TESTED,NOT_TESTED,NOT_TESTED,NOT_TESTED,2026-09-17,Release metadata is tracked separately; NOT_TESTED is not a failure.
BEAT: Tokenizing and Generating Symbolic Music by Uniform Temporal Steps,Representation / codec,Lekai-Qian/BEAT-code,1902b46cdd566747021ab6b2032d478bf8ac3508,YES,NOT_TESTED,NOT_TESTED,NOT_TESTED,NOT_TESTED,NOT_TESTED,NOT_TESTED,NOT_TESTED,2026-09-17,Release metadata is tracked separately; NOT_TESTED is not a failure.
PHALAR: Phasors for Learned Musical Audio Representations,Representation / codec,gladia-research-group/phalar,4a333999d60a0abce6524521fa4892d87bcc3c3d,YES,NOT_TESTED,NOT_TESTED,NOT_TESTED,NOT_TESTED,NOT_TESTED,NOT_TESTED,NOT_TESTED,2026-09-17,Release metadata is tracked separately; NOT_TESTED is not a failure.
