Paper,Venue,Year,Evidence_Domain,Persistent_ID,Exact_Paper_URL,Resource_URL,Code_Status,Weights,Dataset_public,Dataset,Source_Checked_Date,Source_Lock_Status
Perception-Inspired Graph Convolution for Music Understanding Tasks,IJCAI,2024,Representation / codec,DOI:10.24963/ijcai.2024/850; arXiv:2405.09224,https://www.ijcai.org/proceedings/2024/850,https://github.com/manoskary/musgconv,OFFICIAL_CODE_LOCKED,Yes,,"Four task datasets: voice separation, harmonic analysis, cadence detection, composer identification.",2026-09-07,LOCKED
ALMTokenizer: A Low-bitrate and Semantic-rich Audio Codec Tokenizer for Audio Language Modeling,ICML,2025,Representation / codec,PMLR:v267-yang25q; arXiv:2504.10344,https://proceedings.mlr.press/v267/yang25q.html,https://github.com/yangdongchao/ALMTokenizer,OFFICIAL_CODE_LOCKED,Weights status to verify,Mixed,Audio understanding/generation benchmarks; exact training data pending,2026-09-07,LOCKED
Beyond Genre: Diagnosing Bias in Music Embeddings Using Concept Activation Vectors,ISMIR,2025,Representation / codec,,https://github.com/WhoCares96/CAV-MIR/blob/main/paper_ismir_2025.pdf,https://github.com/WhoCares96/CAV-MIR,OFFICIAL_CODE_VERIFIED_2026-09-18,Uses pretrained embedding models; no paper-specific checkpoint needed for the CAV analysis.,STraDa metadata/access instructions and supplementary annotations are provided.,STraDa Singer Traits Dataset + 251 manually annotated songs.,2026-09-18,LOCKED
CoDiCodec: Unifying Continuous and Discrete Compressed Representations of Audio,ISMIR,2025,Representation / codec,arXiv:2509.09836,https://arxiv.org/abs/2509.09836,https://github.com/SonyCSLParis/codicodec,OFFICIAL_CODE_VERIFIED_2026-09-18,Pretrained codec exposed through package; separate checkpoint audit not performed,Training-data release not verified,Training corpus not indexed in this update,2026-09-18,LOCKED
CultureMERT: Continual Pre-Training for Cross-Cultural Music Representation Learning,ISMIR,2025,Representation / codec,arXiv:2506.17818,https://arxiv.org/abs/2506.17818,https://huggingface.co/ntua-slp/CultureMERT-95M,OFFICIAL_CODE_LOCKED,Yes — CultureMERT-95M and TA variant released on Hugging Face,Partly: some source corpora are under research-use agreements and not freely redistributed.,"650 h culturally diverse corpus: Greek Lyra ~50 h, Turkish makam ~200 h, Hindustani ~200 h, Carnatic ~200 h; stage-1 includes ~20 h Western Music4All within a 100 h subset.",2026-09-07,LOCKED
METEOR,IJCAI,2025,Representation / codec,arXiv:2409.11753,https://arxiv.org/abs/2409.11753,https://github.com/dinhviettoanle/meteor,OFFICIAL_CODE_VERIFIED_2026-09-18,Yes — trained checkpoint linked on Hugging Face.,Custom-data preprocessing is released; original training-data redistribution status was not re-audited.,Symbolic orchestral MIDI/re-orchestration data; preprocessing pipeline released.,2026-09-18,LOCKED
MIDI-VALLE: Improving Expressive Piano Performance Synthesis Through Neural Codec Language Modelling,ISMIR,2025,Representation / codec,arXiv:2507.08530,https://arxiv.org/abs/2507.08530,https://github.com/tangjjbetsy/MIDI-VALLE,OFFICIAL_CODE_VERIFIED_2026-09-18,Yes — Piano-Encodec and MIDI-VALLE models on Zenodo,ATEPP MIDI public; ATEPP audio not redistributed due copyright,ATEPP MIDI/performance data,2026-09-18,LOCKED
PianoBind: A Multi-Modal Joint Embedding Model for Pop-Piano Music,ISMIR,2025,Representation / codec,arXiv:2509.04215,https://arxiv.org/abs/2509.04215,https://github.com/Hayeonbang/PianoBind,OFFICIAL_CODE_VERIFIED_2026-09-18,Yes — pretrained PianoBind models on Hugging Face,Yes — PIAST dataset linked by official project,PIAST audio/MIDI/text,2026-09-18,LOCKED
Scaling Self-Supervised Representation Learning for Symbolic Piano Performance,ISMIR,2025,Representation / codec,arXiv:2506.23869,https://arxiv.org/abs/2506.23869,https://github.com/EleutherAI/aria,OFFICIAL_CODE_VERIFIED_2026-09-18,"Yes — base, generative and embedding checkpoints on Hugging Face",Yes — Aria-MIDI on Hugging Face,Aria-MIDI; ~60k h MIDI transcriptions described by the release,2026-09-18,LOCKED
BEAT: Tokenizing and Generating Symbolic Music by Uniform Temporal Steps,ICML,2026,Representation / codec,arXiv:2604.19532,https://arxiv.org/abs/2604.19532,https://github.com/Lekai-Qian/BEAT-code,OFFICIAL_CODE_LOCKED,Yes — pretrained checkpoint archive released; repo provides SHA-256,"Yes/mostly: official repo provides a 169,283-piece v3-deduplicated MusicXML collection and LMD conversion scripts; underlying source licenses still apply.","Lakh MIDI: ~148k processed pieces / ~8.6k h for multitrack; piano: ~15k LMD + ~193k MuseScore = ~208k pieces. Quantized to 16th-note grid, song-level 80/10/10 split, transposition augmentation.",2026-09-07,LOCKED
Continuous Audio Language Models,ICLR,2026,Representation / codec,ICLR2026:dd51dbce305433cd60910dc5b0147be4,https://proceedings.iclr.cc/paper_files/paper/2026/hash/dd51dbce305433cd60910dc5b0147be4-Abstract-Conference.html,https://huggingface.co/kyutai/pocket-tts,PARTIAL_RELEASE_POCKET_TTS_NOT_FULL_MUSIC_CALM,Pocket TTS 100M public; music-generation CALM checkpoint status incomplete,Mixed / not yet normalized,Speech and music generation datasets in paper; exact music corpus/release status still to be normalized,2026-09-07,LOCKED
PHALAR: Phasors for Learned Musical Audio Representations,ICML,2026,Representation / codec,arXiv:2605.03929,https://arxiv.org/abs/2605.03929v4,https://github.com/gladia-research-group/phalar,OFFICIAL_CODE_LOCKED,Weights/project assets reported,Evaluation data substantially public,"MoisesDB, Slakh and other music coherence/retrieval evaluations",2026-09-07,LOCKED
